Restaurant_Name,City,Place_Name,Cuisine,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Avg_Price_Restaurant,Restaurant_Popularity
Ganesh Bhojnalaya, Jaipur,Lal Kothi,North Indian,3.5,4.1,460,0,109.03370786516854,89
Ghungroo Seth Vada Pav Company, Jaipur,Crystal Palm Mall,Fast Food,3.822264031240087,4.2,0,0,81.875,24
Goofy's Pizza, Jaipur,Raja Park,Pizza,3.822264031240087,3.6,0,94,201.40243902439025,82
Harishankar Veg Restro, Jaipur,Raja Park,Beverages,3.8,4.1,273,0,187.97115384615384,520
Harishankar Veg Restro, Jaipur,Raja Park,Beverages,3.8,4.0,273,0,187.97115384615384,520
Hil Pizza, Jaipur,C Scheme,Beverages,3.1,3.9,5,479,237.68253968253967,63
JBT Jaipur Burger Truck, Jaipur,Vaishali Nagar,Fast Food,3.9,4.2,15,0,195.41592920353983,113
JMD Bakery & Fast Food, Jaipur,Durgapura,Beverages,3.6,4.2,8,0,130.70224719101122,178
Jal Mahal Ice Cream Parlour, Jaipur,MI Road,Beverages,4.1,4.4,848,0,211.8473895582329,249
Just A Sec, Jaipur,Mansarovar,North Indian,3.822264031240087,3.6,0,512,156.8923076923077,65
Kanha, Jaipur,C Scheme,Desserts,3.8,4.2,872,0,168.31254817987153,934
Kanji, Jaipur,Sindhi Camp,South Indian,3.8,4.3,435,0,212.9719387755102,196
Khandelwal Dhaba Purana Wala, Jaipur,Sikar Road,South Indian,3.9,4.0,353,0,179.23529411764707,119
Kingdoms Pizza, Jaipur,Amer Road,Fast Food,3.5,3.7,8,592,176.65873015873015,126
Kwality Walls Frozen Dessert And Ice Cream Shop, Jaipur,Shastri Nagar,Desserts,3.822264031240087,4.3,0,289,166.94,50
La Pino'z Pizza, Jaipur,C Scheme,Fast Food,4.0,3.8,164,0,216.2983870967742,868
Laziz Chicken Food Restaurant, Jaipur,Jhotwara,Chinese,4.0,3.8,335,0,203.64444444444445,90
Laziz Pizza, Jaipur,Gopalpura,Beverages,3.8,3.9,833,0,157.94444444444446,72
Marky Momos, Jaipur,C Scheme,Beverages,3.1,4.1,16,0,476.5212345679012,567
McDonald's, Jaipur,Crystal Palm Mall,Beverages,3.8,4.0,726,0,264.2809762020398,2059
Mini Punjabi, Jaipur,Sodala,Mughlai,4.0,3.7,69,0,137.33783783783784,74
Ohh Taco, Jaipur,Gopalpura,Shake,3.822264031240087,3.3,0,37,138.75,128
Pandit Pav Bhaji, Jaipur,C Scheme,South Indian,3.6,3.6,137,0,104.41176470588236,34
